accountsapid,Single_Order,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Median_Days,3_years_cycle,Final_Churn,TotalOrderNumber,FirstOrderedDate,LastOrderedDate,NumQtrsPerOrder,NumYearsOfUser,OrderChannel_NonDigital,OrderChannel_EProcurement,OrderChannel_ECommerce,Recency,Frequency,Monetary,RFM_Score,CountryCode
20438.0,1.0,0.0,0.0,1.0,WillNot_Churn,-1,0.0,0.0,WillNot_Churn,1.0,2021-02-15,2021-02-15,-1.0,3.0,1.0,0.0,0.0,133.0,2.0,1790.77,8,CA
19642.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,181.0,543.0,Will_Churn,2.0,2019-04-23,2019-10-21,2.0,3.0,1.0,0.0,1.0,797.0,2.0,807.5,10,US
20231.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-11-19,2020-11-19,-1.0,3.0,1.0,0.0,0.0,221.0,1.0,777.38,9,CA
21058.0,0.0,0.0,1.0,1.0,WillNot_Churn,WillNot_Churn,44.0,132.0,WillNot_Churn,7.0,2020-02-07,2021-03-23,1.0,2.0,1.0,0.0,0.0,507.0,219.0,56976.91,4,CA
21603.0,0.0,0.0,1.0,1.0,WillNot_Churn,WillNot_Churn,166.0,498.0,WillNot_Churn,2.0,2020-09-23,2021-03-08,2.0,2.0,1.0,0.0,0.0,278.0,178.0,24101.91,3,CA
20899.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-05-02,2019-05-02,-1.0,3.0,1.0,0.0,0.0,788.0,7.0,332.97,10,CA
20933.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,37.0,111.0,Will_Churn,3.0,2019-10-03,2019-12-16,-1.0,3.0,1.0,0.0,0.0,634.0,3.0,1673.8400000000001,8,CA
20408.0,0.0,0.0,1.0,0.0,Will_Churn,WillNot_Churn,72.0,216.0,WillNot_Churn,3.0,2020-07-24,2020-12-15,1.0,3.0,1.0,0.0,0.0,339.0,7.0,8904.84,6,CA
141687.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,21.0,63.0,WillNot_Churn,24.0,2019-04-12,2021-06-10,1.0,1.0,1.0,0.0,0.0,808.0,87.0,40810.4,5,PR
141665.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,8.0,24.0,WillNot_Churn,87.0,2019-01-09,2021-06-16,1.0,1.0,1.0,0.0,0.0,901.0,529.0,151109.42000000007,6,PR
21594.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,83.0,249.0,WillNot_Churn,9.0,2019-01-11,2021-06-04,2.0,1.0,1.0,0.0,0.0,899.0,62.0,46970.82000000001,6,CA
21701.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,6.0,18.0,Will_Churn,2.0,2019-08-14,2019-08-20,-1.0,3.0,1.0,0.0,0.0,684.0,13.0,2083.07,8,CA
21886.0,0.0,1.0,1.0,0.0,Will_Churn,WillNot_Churn,250.0,750.0,WillNot_Churn,4.0,2019-03-20,2020-11-16,4.0,2.0,1.0,0.0,0.0,831.0,8.0,3578.46,7,CA
141720.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,16.0,48.0,WillNot_Churn,45.0,2019-01-10,2021-06-14,1.0,1.0,1.0,0.0,0.0,900.0,456.0,150265.25999999998,6,PR
20149.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,71.0,213.0,Will_Churn,6.0,2019-01-09,2020-09-22,2.0,2.0,1.0,0.0,1.0,901.0,10.0,3090.76,8,CA
141616.0,0.0,1.0,0.0,1.0,Will_Churn,WillNot_Churn,826.0,2478.0,WillNot_Churn,2.0,2019-03-18,2021-06-21,9.0,2.0,1.0,0.0,1.0,833.0,2.0,466.75,11,PR
23628.0,0.0,1.0,0.0,1.0,Will_Churn,WillNot_Churn,157.0,471.0,WillNot_Churn,5.0,2019-03-21,2021-04-15,2.0,2.0,1.0,0.0,1.0,830.0,27.0,19463.84,6,CA
20461.0,0.0,1.0,0.0,1.0,Will_Churn,WillNot_Churn,374.0,1122.0,WillNot_Churn,3.0,2019-04-24,2021-05-11,4.0,2.0,1.0,0.0,0.0,796.0,4.0,1849.99,9,CA
21570.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,2.0,2019-05-08,2019-05-08,-1.0,3.0,0.0,0.0,1.0,782.0,6.0,953.24,9,CA
20355.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,34.0,102.0,Will_Churn,2.0,2019-10-17,2019-11-20,-1.0,3.0,1.0,0.0,0.0,620.0,5.0,996.1600000000001,8,CA
